,PSN1-parental-1,PSN1-parental-2,PSN1-parental-3,PSN1-maintain-1,PSN1-maintain-2,PSN1-maintain-3,PSN1-withdraw-1,PSN1-withdraw-2,PSN1-withdraw-3
HTATIP2,5.66165431403575,5.83521475263065,5.77371078963469,6.17317148054113,6.2216116228372,6.03768557118029,5.83367920160908,5.93787608468347,5.78831453682618
HTATSF1,7.0232420372126,7.03877506237815,7.05922851583357,7.24138124200725,6.40893682562677,7.09133770338777,7.2755237604199,7.214930060734,7.37677797871953
HTN1,0,0,0,0,0,0,0,0,0
HTN3,0,0,0,0,0,0,0,0,0
HTR1A,0,0,0,0,0,0,0,0,0
HTR1B,0,0,0,0,0,0,0,0,0
HTR1D,0.0389227884666532,0,0,2.72864434724097,2.71698304265059,2.58064221559203,0.313731401430326,0.128259297660788,1.19265447507969
HTR1E,0,0,0,0,0,0,0,0,0
HTR1F,0,0,0,0,0,0,0,0,0
HTR2A,0,0,0,0,0,0,0,0,0
HTR2B,2.00742253251784,2.03431656477669,2.23181669401487,0,0,0,1.72424042937577,1.46752127293248,2.38048921288714
HTR2C,1.12686940554904,0.595630952723712,1.08466257926112,0,0,0,0,0,0
HTR3A,0,0,0,0,0,0,0,0,0
HTR3B,0,0,0,0,0,0,0,0,0
HTR3C,0,0,0,0,0,0,0,0,0
HTR3D,0,0,0,0,0,0,0,0,0
HTR3E,0,0,0,0,0,0,0,0,0
HTR4,0,0,0,0,0,0,0,0,0
HTR5A,0,0,0,0,0,0,0,0,0
HTR6,0,0,0,0,0,0,0,0,0
HTR7,5.5276561310699,5.6308682801472,5.56787121907145,5.67531595240485,4.39466559014487,5.44256954685433,5.88992239584407,5.80157520876056,5.8878572057992
HTRA1,8.31677894655214,8.32154849165364,8.30647082851335,6.11343895854375,6.50898817975414,5.99001787787146,6.20141896260696,6.02744829304389,5.9277001378371
HTRA2,4.45814244692712,4.39529595085657,4.58160810404787,4.70935892021992,4.65987454063247,4.55396959995199,4.86818093886699,4.76929925831238,4.93693188673703
HTRA3,9.06574776968715,8.95480375983856,9.047506843568,7.55866985851892,8.71398313106168,7.3772732509819,7.52462012445369,7.24567100258852,7.32016563907302
HTRA4,0,0,0,0,0,0,0,0,0
HTT,6.63217409043574,6.47649974642774,6.55398940408599,6.75125813879974,6.07885798840991,6.8186412057794,6.87387801587268,7.10948239712012,6.88115760797531
HUNK,0,0,0,0,0,0,0,0,0
HUS1,4.79508297076582,4.90783410966071,4.8888618431379,5.02624127317179,4.77618724940977,4.86708234029899,5.08226327907189,4.9867203643405,5.00236335523635
HUS1B,0,0,0,0,0,0,0,0,0
HUWE1,9.23034953162013,9.14266387890885,9.13469027273832,9.29299200482068,7.99455245992571,9.38832271796467,9.04402507935171,9.52578249202217,9.26052638311
HVCN1,0,0,0,0,0.184173772204166,0,0,0,0
HYAL1,0,0,0,0,0,0,0,0,0
HYAL2,4.56566301518099,4.54924554655552,4.59524044471857,5.05689787621841,5.16022476168137,5.04866711992765,5.15361492090857,4.95663042852271,4.69453641692882
HYAL3,3.463052635598,3.40042437567824,3.31117901461688,3.64175831007556,3.57059756565708,3.48252305463462,3.72219797058802,3.70249685712606,3.69431244170925
HYAL4,0,0,0.276879848046434,1.07788638569111,0.48694429249382,0.997495578700113,1.56585908488977,1.30719286296371,1.08937303646255
HYDIN,0.300339484330507,0,0,0.287105158969863,0,0.000215096203579469,2.22594015026962,2.05209762744539,2.06374235325862
HYI,2.79615948748525,3.13157692634934,3.16038563666036,3.6563918790011,4.14713308119409,3.98865829460277,2.91910297350308,2.69466330217717,1.85917275575686
HYKK,0.934876117665467,0.595630952723712,1.03217403596626,1.73110439211203,1.97154979576252,1.43735165474055,1.31010976222998,0.9749530778144,1.37937509393907
HYLS1,3.27307703367736,2.98225546395521,2.89242482070239,3.76165372868106,3.20602370480427,3.71921017422299,3.33711636138961,3.25219423365374,3.46596665452701
HYOU1,8.4097517280265,8.34849728718151,8.39356822747905,8.57773162673738,5.68774767610201,8.4515808667001,8.49660292131089,8.47642106269443,8.51492346674924
HYPK,0,0,0,0,0,0,0,0,0
HYPM,0,0,0,0,0,0,0,0,0
IAH1,5.39865928330179,5.46017042955293,5.38637341040348,5.3069234739654,5.60759109872582,5.07022082810042,5.36559080077068,5.2792134308967,5.28250320220345
IAPP,0,0,0,0,0,0,0,0,0
IARS,8.39057788041379,8.42705100530098,8.35134632243733,8.94538172588781,7.37063503194333,8.79660696307787,8.92427105928544,8.90756608578193,8.93035412430437
IARS2,8.74528877996938,8.73658246508821,8.74548060392433,8.28052625687742,6.98896234230442,8.09995095642166,8.5921613938106,8.50586763411014,8.58006956681431
IBA57,4.65407595631837,4.66810769991493,4.76567344048302,4.15593918231361,4.34844064207379,4.06425785939034,4.00747789933798,4.26844977749301,4.01633013085709
IBSP,0,0,0,0,0,0,0,0,0
IBTK,7.05384985469404,7.09441753457064,7.06250366843302,6.77910573367646,5.39664356104521,6.61373625264919,6.98915429460444,7.17192618661002,7.18265848643435
ICA1,0,0,0,0,0,0,0,0,0
ICA1L,1.12686940554904,1.15654636893553,1.2315591595325,2.82246521678528,2.49732850658989,2.75807520216168,1.97173819172574,2.30654550274391,2.38048921288714
ICAM1,7.50335564945696,7.37152871599339,7.40457520594515,5.89483724322503,3.95072559851284,5.7091203334795,6.46308541574902,6.1943267219418,6.30291918878831
ICAM2,0,0,0,0,0,0,0,0,0
ICAM3,0,0,0,0,0,0,0,0,0
ICAM4,0,0,0,0,0,0,0,0,0
ICAM5,6.06202700055899,6.26242958390702,6.28067732932286,4.86864944246454,4.32952783030943,5.44256954685433,5.92786459895688,6.06866957248449,5.58026113185834
ICE1,7.11813750249821,7.10423931001955,7.1194335207424,7.32046323767841,5.47187819348526,7.25084676729978,7.17895943958605,7.39462719600709,7.30655824183667
ICE2,5.80195735507128,5.76646159821552,5.71872407142527,5.55551798623221,4.38553832804228,5.47294059238451,5.69131687994635,5.76538835991403,5.94074029007499
ICK,5.60833222543347,5.34764040569871,5.49459690174996,5.10836259448247,3.28668171600156,4.90184332450813,5.3846967541551,5.53591666688691,5.60153152240803
ICMT,5.82637783036855,5.79286309420049,5.78366746872741,6.5416154152831,6.13167270686002,6.39205185977855,6.33265287102123,6.26287084356869,6.33572698525054
ICOS,0,0,0,0,0,0,0,0,0
ICOSLG,4.27256147439725,4.18925670384941,4.17867788835673,3.80826553706667,4.24121097721183,3.70353306183706,3.42279490364346,3.41840698522021,3.32531460258246
ICT1,5.20737676645194,5.12526645169167,5.09162358989701,4.98915032544726,6.13712131847085,4.80966162269419,5.55037381750551,5.50390782097593,5.56349792470221
ID1,4.51075313594675,4.52244910047548,4.52099917193919,3.08295010633841,4.81749550882054,3.10691019646832,2.86570857281591,2.36880242135226,2.14325112886529
ID2,5.18596749345749,5.06154669209107,5.12019343766033,5.30924039512083,4.76215074455091,5.12715073323339,5.48990092851062,5.34004761047275,5.50198731772288
ID3,0,0,0,0,0,0,0,0,0
ID4,0,0,0,0,0,0,0,0,0
IDE,6.19657596502692,6.13849804460744,6.17570659549334,6.61180870627584,5.47187819348526,6.58941856527665,6.77597676476267,6.83959909201096,6.89270732174635
IDH1,6.0780960413654,6.14875549621162,6.13428618075147,6.38897476070163,5.55564181890168,6.31934102126529,6.53753023885508,6.37075856083578,6.52820473721227
IDH2,5.3963308589015,5.25029176560775,5.40713238369608,6.2738788183368,6.28924271563427,6.12118473608282,5.78417560614311,5.58263650804199,5.56830732069797
IDH3A,4.94280164652951,5.08615387430932,5.01930756165507,5.16318701863744,2.39188539929078,4.87410186396833,5.35594209440463,5.22694916445629,5.26186972341651
IDH3B,7.71527019165288,7.69320109303391,7.64528658141845,7.58233159400433,8.45999557158493,7.48665432369785,7.73743825610668,7.64471577186856,7.66977593149427
IDH3G,5.85718016654795,5.77215987679689,5.83436272764042,5.87620509203004,6.99947038378928,5.62423773205623,5.78417560614311,5.6676466734645,5.70123155161835
IDI1,4.7188668639525,4.52244910047548,4.49699282495763,4.83366773687971,4.92849418809996,4.65930630676274,4.84767275014254,4.86959627515094,4.94435032917423
IDI2,0,0,0,0,0,0,0,0,0
